geography_type,geography,time_end,estimate,lci,uci,sample_size
admin1,District of Columbia,2022-10-01,0.352,0.319,0.385,1841
admin1,District of Columbia,2022-11-01,0.478,0.443,0.513,1841
admin1,District of Columbia,2022-12-01,0.51,0.475,0.545,1841
admin1,Florida,2009-01-01,0.329,0.316,0.342,20033
admin1,Florida,2009-02-01,0.34,0.325,0.355,20033
admin1,Florida,2009-03-01,0.343,0.328,0.358,20033
admin1,Florida,2009-04-01,0.347,0.332,0.362,20033
admin1,Florida,2009-05-01,0.347,0.332,0.362,20033
admin1,Florida,2009-08-01,0.007,0.005,0.009,20033
admin1,Florida,2009-09-01,0.069,0.063,0.075,20033
admin1,Florida,2009-10-01,0.21,0.199,0.221,20033
admin1,Florida,2009-11-01,0.293,0.28,0.306,20033
admin1,Florida,2009-12-01,0.316,0.303,0.329,20033
admin1,Florida,2010-01-01,0.336,0.318,0.354,20113
admin1,Florida,2010-02-01,0.346,0.326,0.366,20113
admin1,Florida,2010-03-01,0.349,0.329,0.369,20113
admin1,Florida,2010-04-01,0.359,0.337,0.381,20113
admin1,Florida,2010-05-01,0.359,0.337,0.381,20113
admin1,Florida,2010-08-01,0.01,0.006,0.014,20113
admin1,Florida,2010-09-01,0.072,0.064,0.08,20113
admin1,Florida,2010-10-01,0.214,0.202,0.226,20113
admin1,Florida,2010-11-01,0.29,0.274,0.306,20113
admin1,Florida,2010-12-01,0.313,0.295,0.331,20113
admin1,Florida,2011-01-01,0.326,0.299,0.353,6192
admin1,Florida,2011-02-01,0.335,0.308,0.362,6192
admin1,Florida,2011-03-01,0.345,0.316,0.374,6192
admin1,Florida,2011-04-01,0.349,0.32,0.378,6192
admin1,Florida,2011-05-01,0.35,0.321,0.379,6192
admin1,Florida,2011-08-01,0.009,0.005,0.013,6192
admin1,Florida,2011-09-01,0.064,0.054,0.074,6192
admin1,Florida,2011-10-01,0.2,0.182,0.218,6192
admin1,Florida,2011-11-01,0.274,0.25,0.298,6192
admin1,Florida,2011-12-01,0.296,0.272,0.32,6192
admin1,Florida,2012-01-01,0.282,0.262,0.302,14794
admin1,Florida,2012-02-01,0.29,0.27,0.31,14794
admin1,Florida,2012-03-01,0.301,0.281,0.321,14794
admin1,Florida,2012-04-01,0.304,0.284,0.324,14794
admin1,Florida,2012-05-01,0.308,0.286,0.33,14794
admin1,Florida,2012-07-01,0.004,0.002,0.006,14794
admin1,Florida,2012-08-01,0.018,0.012,0.024,14794
admin1,Florida,2012-09-01,0.063,0.053,0.073,14794
admin1,Florida,2012-10-01,0.158,0.144,0.172,14794
admin1,Florida,2012-11-01,0.221,0.205,0.237,14794
admin1,Florida,2012-12-01,0.252,0.234,0.27,14794
admin1,Florida,2013-01-01,0.312,0.298,0.326,15995
admin1,Florida,2013-02-01,0.328,0.314,0.342,15995
admin1,Florida,2013-03-01,0.337,0.321,0.353,15995
admin1,Florida,2013-04-01,0.339,0.323,0.355,15995
admin1,Florida,2013-05-01,0.344,0.328,0.36,15995
admin1,Florida,2013-08-01,0.016,0.012,0.02,15995
admin1,Florida,2013-09-01,0.076,0.07,0.082,15995
admin1,Florida,2013-10-01,0.193,0.183,0.203,15995
admin1,Florida,2013-11-01,0.261,0.249,0.273,15995
admin1,Florida,2013-12-01,0.289,0.275,0.303,15995
admin1,Florida,2014-01-01,0.336,0.32,0.352,7022
admin1,Florida,2014-02-01,0.354,0.336,0.372,7022
admin1,Florida,2014-03-01,0.361,0.343,0.379,7022
admin1,Florida,2014-04-01,0.367,0.349,0.385,7022
admin1,Florida,2014-05-01,0.371,0.353,0.389,7022
admin1,Florida,2014-08-01,0.015,0.011,0.019,7022
admin1,Florida,2014-09-01,0.072,0.064,0.08,7022
admin1,Florida,2014-10-01,0.217,0.203,0.231,7022
admin1,Florida,2014-11-01,0.286,0.272,0.3,7022
admin1,Florida,2014-12-01,0.314,0.298,0.33,7022
admin1,Florida,2015-01-01,0.342,0.326,0.358,13076
admin1,Florida,2015-02-01,0.358,0.342,0.374,13076
admin1,Florida,2015-03-01,0.366,0.35,0.382,13076
admin1,Florida,2015-04-01,0.373,0.357,0.389,13076
admin1,Florida,2015-05-01,0.375,0.359,0.391,13076
admin1,Florida,2015-07-01,0.004,0.002,0.006,13076
admin1,Florida,2015-08-01,0.017,0.013,0.021,13076
admin1,Florida,2015-09-01,0.074,0.068,0.08,13076
admin1,Florida,2015-10-01,0.213,0.201,0.225,13076
admin1,Florida,2015-11-01,0.281,0.267,0.295,13076
admin1,Florida,2015-12-01,0.308,0.294,0.322,13076
admin1,Florida,2016-01-01,0.345,0.333,0.357,25955
admin1,Florida,2016-02-01,0.369,0.357,0.381,25955
admin1,Florida,2016-03-01,0.38,0.368,0.392,25955
admin1,Florida,2016-04-01,0.392,0.378,0.406,25955
admin1,Florida,2016-05-01,0.401,0.387,0.415,25955
admin1,Florida,2016-07-01,0.005,0.003,0.007,25955
admin1,Florida,2016-08-01,0.019,0.017,0.021,25955
admin1,Florida,2016-09-01,0.085,0.079,0.091,25955
admin1,Florida,2016-10-01,0.219,0.209,0.229,25955
admin1,Florida,2016-11-01,0.289,0.277,0.301,25955
admin1,Florida,2016-12-01,0.316,0.304,0.328,25955
admin1,Florida,2017-01-01,0.294,0.278,0.31,10156
admin1,Florida,2017-02-01,0.311,0.293,0.329,10156
admin1,Florida,2017-03-01,0.322,0.304,0.34,10156
admin1,Florida,2017-04-01,0.326,0.308,0.344,10156
admin1,Florida,2017-05-01,0.331,0.311,0.351,10156
admin1,Florida,2017-08-01,0.015,0.011,0.019,10156
admin1,Florida,2017-09-01,0.067,0.059,0.075,10156
admin1,Florida,2017-10-01,0.189,0.175,0.203,10156
admin1,Florida,2017-11-01,0.248,0.232,0.264,10156
admin1,Florida,2017-12-01,0.267,0.251,0.283,10156
admin1,Florida,2018-01-01,0.334,0.32,0.348,15572
admin1,Florida,2018-02-01,0.354,0.34,0.368,15572
admin1,Florida,2018-03-01,0.369,0.353,0.385,15572
admin1,Florida,2018-04-01,0.374,0.358,0.39,15572
admin1,Florida,2018-05-01,0.376,0.36,0.392,15572
admin1,Florida,2018-08-01,0.018,0.014,0.022,15572
admin1,Florida,2018-09-01,0.082,0.074,0.09,15572
admin1,Florida,2018-10-01,0.207,0.195,0.219,15572
admin1,Florida,2018-11-01,0.279,0.265,0.293,15572
admin1,Florida,2018-12-01,0.303,0.289,0.317,15572
admin1,Florida,2019-01-01,0.39,0.366,0.414,6374
admin1,Florida,2019-02-01,0.407,0.383,0.431,6374
admin1,Florida,2019-03-01,0.414,0.39,0.438,6374
admin1,Florida,2019-04-01,0.417,0.393,0.441,6374
admin1,Florida,2019-05-01,0.418,0.394,0.442,6374
admin1,Florida,2019-08-01,0.02,0.014,0.026,6374
admin1,Florida,2019-09-01,0.094,0.08,0.108,6374
admin1,Florida,2019-10-01,0.236,0.216,0.256,6374
admin1,Florida,2019-11-01,0.317,0.295,0.339,6374
admin1,Florida,2019-12-01,0.354,0.332,0.376,6374
admin1,Florida,2020-01-01,0.384,0.349,0.419,4143
admin1,Florida,2020-02-01,0.384,0.349,0.419,4143
admin1,Florida,2020-03-01,0.384,0.349,0.419,4143
admin1,Florida,2020-04-01,0.384,0.349,0.419,4143
admin1,Florida,2020-05-01,0.384,0.349,0.419,4143
admin1,Florida,2020-08-01,0.024,0.016,0.032,4143
admin1,Florida,2020-09-01,0.117,0.099,0.135,4143
admin1,Florida,2020-10-01,0.297,0.268,0.326,4143
admin1,Florida,2020-11-01,0.384,0.349,0.419,4143
admin1,Florida,2020-12-01,0.384,0.349,0.419,4143
admin1,Florida,2021-01-01,0.351,0.329,0.373,5747
admin1,Florida,2021-02-01,0.373,0.349,0.397,5747
admin1,Florida,2021-03-01,0.387,0.363,0.411,5747
admin1,Florida,2021-04-01,0.396,0.372,0.42,5747
admin1,Florida,2021-05-01,0.403,0.378,0.428,5747
admin1,Florida,2021-08-01,0.017,0.011,0.023,5747
admin1,Florida,2021-09-01,0.08,0.07,0.09,5747
admin1,Florida,2021-10-01,0.199,0.181,0.217,5747
admin1,Florida,2021-11-01,0.277,0.257,0.297,5747
admin1,Florida,2021-12-01,0.318,0.296,0.34,5747
admin1,Florida,2022-01-01,0.377,0.359,0.395,11300
admin1,Florida,2022-02-01,0.394,0.374,0.414,11300
admin1,Florida,2022-03-01,0.403,0.383,0.423,11300
admin1,Florida,2022-04-01,0.413,0.391,0.435,11300
admin1,Florida,2022-05-01,0.417,0.395,0.439,11300
admin1,Florida,2022-07-01,0.004,0.002,0.006,11300
admin1,Florida,2022-08-01,0.015,0.011,0.019,11300
admin1,Florida,2022-09-01,0.079,0.071,0.087,11300
admin1,Florida,2022-10-01,0.221,0.207,0.235,11300
admin1,Florida,2022-11-01,0.307,0.291,0.323,11300
admin1,Florida,2022-12-01,0.342,0.324,0.36,11300
admin1,Georgia,2009-01-01,0.346,0.324,0.368,5025
admin1,Georgia,2009-02-01,0.364,0.342,0.386,5025
admin1,Georgia,2009-03-01,0.368,0.344,0.392,5025
admin1,Georgia,2009-04-01,0.369,0.345,0.393,5025
admin1,Georgia,2009-05-01,0.369,0.345,0.393,5025
admin1,Georgia,2009-08-01,0.011,0.007,0.015,5025
admin1,Georgia,2009-09-01,0.085,0.074,0.096,5025
admin1,Georgia,2009-10-01,0.235,0.218,0.252,5025
admin1,Georgia,2009-11-01,0.302,0.282,0.322,5025
admin1,Georgia,2009-12-01,0.333,0.312,0.354,5025
admin1,Georgia,2010-01-01,0.373,0.346,0.4,5151
admin1,Georgia,2010-02-01,0.382,0.355,0.409,5151
admin1,Georgia,2010-03-01,0.392,0.365,0.419,5151
admin1,Georgia,2010-04-01,0.393,0.366,0.42,5151
admin1,Georgia,2010-05-01,0.396,0.369,0.423,5151
admin1,Georgia,2010-09-01,0.068,0.056,0.08,5151
admin1,Georgia,2010-10-01,0.24,0.218,0.262,5151
admin1,Georgia,2010-11-01,0.333,0.308,0.358,5151
admin1,Georgia,2010-12-01,0.358,0.331,0.385,5151
admin1,Georgia,2011-01-01,0.326,0.306,0.346,6586
admin1,Georgia,2011-02-01,0.342,0.322,0.362,6586
admin1,Georgia,2011-03-01,0.352,0.33,0.374,6586
admin1,Georgia,2011-04-01,0.357,0.335,0.379,6586
admin1,Georgia,2011-05-01,0.364,0.34,0.388,6586
admin1,Georgia,2011-08-01,0.011,0.007,0.015,6586
admin1,Georgia,2011-09-01,0.071,0.063,0.079,6586
admin1,Georgia,2011-10-01,0.209,0.193,0.225,6586
admin1,Georgia,2011-11-01,0.282,0.264,0.3,6586
admin1,Georgia,2011-12-01,0.302,0.284,0.32,6586
admin1,Georgia,2012-01-01,0.343,0.323,0.363,5483
admin1,Georgia,2012-02-01,0.359,0.339,0.379,5483
admin1,Georgia,2012-03-01,0.366,0.346,0.386,5483
admin1,Georgia,2012-04-01,0.37,0.35,0.39,5483
admin1,Georgia,2012-05-01,0.374,0.352,0.396,5483
admin1,Georgia,2012-08-01,0.014,0.01,0.018,5483
admin1,Georgia,2012-09-01,0.08,0.07,0.09,5483
admin1,Georgia,2012-10-01,0.216,0.2,0.232,5483
admin1,Georgia,2012-11-01,0.285,0.267,0.303,5483
admin1,Georgia,2012-12-01,0.313,0.295,0.331,5483
admin1,Georgia,2013-01-01,0.33,0.31,0.35,5351
admin1,Georgia,2013-02-01,0.345,0.325,0.365,5351
admin1,Georgia,2013-03-01,0.352,0.33,0.374,5351
admin1,Georgia,2013-04-01,0.355,0.333,0.377,5351
admin1,Georgia,2013-05-01,0.355,0.333,0.377,5351
admin1,Georgia,2013-08-01,0.014,0.01,0.018,5351
admin1,Georgia,2013-09-01,0.073,0.063,0.083,5351
admin1,Georgia,2013-10-01,0.206,0.19,0.222,5351
admin1,Georgia,2013-11-01,0.279,0.261,0.297,5351
admin1,Georgia,2013-12-01,0.304,0.284,0.324,5351
admin1,Georgia,2014-01-01,0.366,0.339,0.393,3426
admin1,Georgia,2014-02-01,0.38,0.351,0.409,3426
admin1,Georgia,2014-03-01,0.389,0.36,0.418,3426
admin1,Georgia,2014-04-01,0.392,0.363,0.421,3426
admin1,Georgia,2014-05-01,0.397,0.366,0.428,3426
admin1,Georgia,2014-08-01,0.013,0.009,0.017,3426
admin1,Georgia,2014-09-01,0.072,0.06,0.084,3426
admin1,Georgia,2014-10-01,0.231,0.209,0.253,3426
admin1,Georgia,2014-11-01,0.308,0.283,0.333,3426
admin1,Georgia,2014-12-01,0.335,0.31,0.36,3426
admin1,Georgia,2015-01-01,0.35,0.326,0.374,3408
admin1,Georgia,2015-02-01,0.363,0.339,0.387,3408
admin1,Georgia,2015-03-01,0.37,0.346,0.394,3408
admin1,Georgia,2015-04-01,0.37,0.346,0.394,3408
admin1,Georgia,2015-05-01,0.38,0.353,0.407,3408
admin1,Georgia,2015-08-01,0.022,0.014,0.03,3408
admin1,Georgia,2015-09-01,0.084,0.07,0.098,3408
admin1,Georgia,2015-10-01,0.218,0.198,0.238,3408
admin1,Georgia,2015-11-01,0.289,0.267,0.311,3408
admin1,Georgia,2015-12-01,0.326,0.304,0.348,3408
admin1,Georgia,2016-01-01,0.368,0.343,0.393,2910
admin1,Georgia,2016-02-01,0.388,0.361,0.415,2910
admin1,Georgia,2016-03-01,0.388,0.361,0.415,2910
admin1,Georgia,2016-04-01,0.391,0.364,0.418,2910
admin1,Georgia,2016-05-01,0.392,0.365,0.419,2910
admin1,Georgia,2016-08-01,0.022,0.014,0.03,2910
admin1,Georgia,2016-09-01,0.1,0.086,0.114,2910
admin1,Georgia,2016-10-01,0.237,0.217,0.257,2910
admin1,Georgia,2016-11-01,0.312,0.288,0.336,2910
admin1,Georgia,2016-12-01,0.337,0.313,0.361,2910
admin1,Georgia,2017-01-01,0.31,0.296,0.324,6552
admin1,Georgia,2017-02-01,0.328,0.314,0.342,6552
admin1,Georgia,2017-03-01,0.332,0.316,0.348,6552
admin1,Georgia,2017-04-01,0.339,0.323,0.355,6552
admin1,Georgia,2017-05-01,0.348,0.33,0.366,6552
admin1,Georgia,2017-08-01,0.014,0.01,0.018,6552
admin1,Georgia,2017-09-01,0.064,0.058,0.07,6552
admin1,Georgia,2017-10-01,0.182,0.17,0.194,6552
admin1,Georgia,2017-11-01,0.251,0.239,0.263,6552
admin1,Georgia,2017-12-01,0.276,0.262,0.29,6552
admin1,Georgia,2018-01-01,0.337,0.298,0.376,4107
admin1,Georgia,2018-02-01,0.358,0.319,0.397,4107
admin1,Georgia,2018-03-01,0.385,0.342,0.428,4107
admin1,Georgia,2018-04-01,0.393,0.35,0.436,4107
admin1,Georgia,2018-05-01,0.393,0.35,0.436,4107
admin1,Georgia,2018-08-01,0.012,0.006,0.018,4107
admin1,Georgia,2018-09-01,0.071,0.057,0.085,4107
admin1,Georgia,2018-10-01,0.203,0.178,0.228,4107
admin1,Georgia,2018-11-01,0.271,0.238,0.304,4107
admin1,Georgia,2018-12-01,0.305,0.27,0.34,4107
admin1,Georgia,2019-01-01,0.388,0.372,0.404,10106
admin1,Georgia,2019-02-01,0.414,0.396,0.432,10106
admin1,Georgia,2019-03-01,0.421,0.403,0.439,10106
admin1,Georgia,2019-04-01,0.425,0.407,0.443,10106
admin1,Georgia,2019-05-01,0.43,0.408,0.452,10106
admin1,Georgia,2019-08-01,0.02,0.016,0.024,10106
admin1,Georgia,2019-09-01,0.092,0.084,0.1,10106
admin1,Georgia,2019-10-01,0.253,0.239,0.267,10106
admin1,Georgia,2019-11-01,0.328,0.314,0.342,10106
admin1,Georgia,2019-12-01,0.363,0.347,0.379,10106
admin1,Georgia,2020-01-01,0.374,0.352,0.396,5280
admin1,Georgia,2020-02-01,0.389,0.367,0.411,5280
admin1,Georgia,2020-03-01,0.403,0.381,0.425,5280
admin1,Georgia,2020-04-01,0.414,0.392,0.436,5280
admin1,Georgia,2020-05-01,0.42,0.396,0.444,5280
admin1,Georgia,2020-08-01,0.014,0.01,0.018,5280
admin1,Georgia,2020-09-01,0.103,0.091,0.115,5280
admin1,Georgia,2020-10-01,0.264,0.246,0.282,5280
admin1,Georgia,2020-11-01,0.32,0.3,0.34,5280
admin1,Georgia,2020-12-01,0.344,0.324,0.364,5280
admin1,Georgia,2021-01-01,0.383,0.363,0.403,5785
admin1,Georgia,2021-02-01,0.407,0.385,0.429,5785
admin1,Georgia,2021-03-01,0.421,0.399,0.443,5785
admin1,Georgia,2021-04-01,0.428,0.406,0.45,5785
admin1,Georgia,2021-05-01,0.452,0.421,0.483,5785
admin1,Georgia,2021-08-01,0.016,0.01,0.022,5785
admin1,Georgia,2021-09-01,0.087,0.077,0.097,5785
admin1,Georgia,2021-10-01,0.222,0.206,0.238,5785
admin1,Georgia,2021-11-01,0.308,0.29,0.326,5785
admin1,Georgia,2021-12-01,0.351,0.331,0.371,5785
admin1,Georgia,2022-01-01,0.373,0.355,0.391,6458
admin1,Georgia,2022-02-01,0.391,0.371,0.411,6458
admin1,Georgia,2022-03-01,0.399,0.379,0.419,6458
admin1,Georgia,2022-04-01,0.41,0.39,0.43,6458
admin1,Georgia,2022-05-01,0.416,0.394,0.438,6458
admin1,Georgia,2022-07-01,0.004,0.002,0.006,6458
admin1,Georgia,2022-08-01,0.018,0.014,0.022,6458
admin1,Georgia,2022-09-01,0.093,0.083,0.103,6458
admin1,Georgia,2022-10-01,0.234,0.22,0.248,6458
admin1,Georgia,2022-11-01,0.317,0.299,0.335,6458
admin1,Georgia,2022-12-01,0.347,0.329,0.365,6458
admin1,Guam,2017-01-01,0.233,0.198,0.268,1146
admin1,Guam,2017-02-01,0.245,0.208,0.282,1146
admin1,Guam,2017-03-01,0.249,0.212,0.286,1146
admin1,Guam,2017-04-01,0.259,0.22,0.298,1146
admin1,Guam,2017-05-01,0.311,0.235,0.387,1146
admin1,Guam,2017-08-01,0.023,0.013,0.033,1146
admin1,Guam,2017-09-01,0.062,0.046,0.078,1146
admin1,Guam,2017-10-01,0.137,0.112,0.162,1146
admin1,Guam,2017-11-01,0.18,0.151,0.209,1146
admin1,Guam,2017-12-01,0.195,0.164,0.226,1146
admin1,Guam,2018-01-01,0.252,0.219,0.285,1520
admin1,Guam,2018-02-01,0.269,0.234,0.304,1520
admin1,Guam,2018-03-01,0.289,0.252,0.326,1520
admin1,Guam,2018-04-01,0.3,0.261,0.339,1520
admin1,Guam,2018-05-01,0.3,0.261,0.339,1520
admin1,Guam,2018-07-01,0.007,0.003,0.011,1520
admin1,Guam,2018-08-01,0.03,0.018,0.042,1520
admin1,Guam,2018-09-01,0.069,0.051,0.087,1520
admin1,Guam,2018-10-01,0.126,0.104,0.148,1520
admin1,Guam,2018-11-01,0.18,0.153,0.207,1520
admin1,Guam,2018-12-01,0.207,0.178,0.236,1520
admin1,Guam,2019-01-01,0.333,0.3,0.366,1687
admin1,Guam,2019-02-01,0.352,0.317,0.387,1687
admin1,Guam,2019-03-01,0.361,0.326,0.396,1687
admin1,Guam,2019-04-01,0.371,0.334,0.408,1687
admin1,Guam,2019-05-01,0.377,0.338,0.416,1687
admin1,Guam,2019-07-01,0.015,0.007,0.023,1687
admin1,Guam,2019-08-01,0.036,0.026,0.046,1687
admin1,Guam,2019-09-01,0.103,0.085,0.121,1687
admin1,Guam,2019-10-01,0.178,0.154,0.202,1687
admin1,Guam,2019-11-01,0.251,0.222,0.28,1687
admin1,Guam,2019-12-01,0.291,0.26,0.322,1687
admin1,Guam,2020-01-01,0.284,0.251,0.317,1549
admin1,Guam,2020-02-01,0.313,0.278,0.348,1549
admin1,Guam,2020-03-01,0.336,0.299,0.373,1549
admin1,Guam,2020-04-01,0.352,0.313,0.391,1549
admin1,Guam,2020-05-01,0.389,0.338,0.44,1549
admin1,Guam,2020-08-01,0.028,0.016,0.04,1549
admin1,Guam,2020-09-01,0.094,0.074,0.114,1549
admin1,Guam,2020-10-01,0.179,0.154,0.204,1549
admin1,Guam,2020-11-01,0.233,0.204,0.262,1549
admin1,Guam,2020-12-01,0.257,0.226,0.288,1549
admin1,Guam,2021-01-01,0.346,0.309,0.383,1523
admin1,Guam,2021-02-01,0.367,0.33,0.404,1523
admin1,Guam,2021-03-01,0.406,0.365,0.447,1523
admin1,Guam,2021-04-01,0.418,0.375,0.461,1523
admin1,Guam,2021-05-01,0.423,0.38,0.466,1523
admin1,Guam,2021-08-01,0.025,0.015,0.035,1523
admin1,Guam,2021-09-01,0.077,0.059,0.095,1523
admin1,Guam,2021-10-01,0.175,0.148,0.202,1523
admin1,Guam,2021-11-01,0.258,0.225,0.291,1523
admin1,Guam,2021-12-01,0.31,0.275,0.345,1523
admin1,Guam,2022-01-01,0.313,0.256,0.37,828
admin1,Guam,2022-02-01,0.317,0.26,0.374,828
admin1,Guam,2022-03-01,0.331,0.27,0.392,828
admin1,Guam,2022-04-01,0.367,0.296,0.438,828
admin1,Guam,2022-05-01,0.387,0.311,0.463,828
admin1,Guam,2022-08-01,0.053,0.024,0.082,828
admin1,Guam,2022-09-01,0.099,0.064,0.134,828
admin1,Guam,2022-10-01,0.178,0.137,0.219,828
admin1,Guam,2022-11-01,0.227,0.18,0.274,828
admin1,Guam,2022-12-01,0.284,0.229,0.339,828
admin1,Hawaii,2009-01-01,0.455,0.435,0.475,6368
admin1,Hawaii,2009-02-01,0.475,0.455,0.495,6368
admin1,Hawaii,2009-03-01,0.49,0.468,0.512,6368
admin1,Hawaii,2009-04-01,0.496,0.474,0.518,6368
admin1,Hawaii,2009-05-01,0.499,0.477,0.521,6368
admin1,Hawaii,2009-08-01,0.023,0.018,0.028,6368
admin1,Hawaii,2009-09-01,0.125,0.114,0.136,6368
admin1,Hawaii,2009-10-01,0.29,0.275,0.305,6368
admin1,Hawaii,2009-11-01,0.394,0.376,0.412,6368
admin1,Hawaii,2009-12-01,0.427,0.409,0.445,6368
admin1,Hawaii,2010-01-01,0.397,0.372,0.422,5191
admin1,Hawaii,2010-02-01,0.424,0.399,0.449,5191
admin1,Hawaii,2010-03-01,0.444,0.417,0.471,5191
admin1,Hawaii,2010-04-01,0.457,0.43,0.484,5191
admin1,Hawaii,2010-05-01,0.461,0.432,0.49,5191
admin1,Hawaii,2010-08-01,0.016,0.012,0.02,5191
admin1,Hawaii,2010-09-01,0.103,0.089,0.117,5191
admin1,Hawaii,2010-10-01,0.252,0.232,0.272,5191
admin1,Hawaii,2010-11-01,0.331,0.309,0.353,5191
admin1,Hawaii,2010-12-01,0.364,0.34,0.388,5191
admin1,Hawaii,2011-01-01,0.383,0.359,0.407,5753
admin1,Hawaii,2011-02-01,0.412,0.387,0.437,5753
admin1,Hawaii,2011-03-01,0.431,0.406,0.456,5753
admin1,Hawaii,2011-04-01,0.444,0.417,0.471,5753
admin1,Hawaii,2011-05-01,0.454,0.427,0.481,5753
admin1,Hawaii,2011-08-01,0.025,0.019,0.031,5753
admin1,Hawaii,2011-09-01,0.115,0.103,0.127,5753
admin1,Hawaii,2011-10-01,0.247,0.229,0.265,5753
admin1,Hawaii,2011-11-01,0.324,0.302,0.346,5753
admin1,Hawaii,2011-12-01,0.361,0.339,0.383,5753
admin1,Hawaii,2012-01-01,0.431,0.407,0.455,6346
admin1,Hawaii,2012-02-01,0.463,0.438,0.488,6346
admin1,Hawaii,2012-03-01,0.486,0.461,0.511,6346
admin1,Hawaii,2012-04-01,0.496,0.469,0.523,6346
admin1,Hawaii,2012-05-01,0.5,0.473,0.527,6346
admin1,Hawaii,2012-07-01,0.009,0.005,0.013,6346
admin1,Hawaii,2012-08-01,0.029,0.023,0.035,6346
admin1,Hawaii,2012-09-01,0.115,0.103,0.127,6346
admin1,Hawaii,2012-10-01,0.241,0.223,0.259,6346
admin1,Hawaii,2012-11-01,0.328,0.308,0.348,6346
admin1,Hawaii,2012-12-01,0.377,0.355,0.399,6346
admin1,Hawaii,2013-01-01,0.445,0.42,0.47,5231
admin1,Hawaii,2013-02-01,0.47,0.445,0.495,5231
admin1,Hawaii,2013-03-01,0.492,0.465,0.519,5231
admin1,Hawaii,2013-04-01,0.496,0.469,0.523,5231
admin1,Hawaii,2013-05-01,0.502,0.473,0.531,5231
admin1,Hawaii,2013-07-01,0.006,0.004,0.008,5231
admin1,Hawaii,2013-08-01,0.036,0.028,0.044,5231
admin1,Hawaii,2013-09-01,0.132,0.118,0.146,5231
admin1,Hawaii,2013-10-01,0.274,0.254,0.294,5231
admin1,Hawaii,2013-11-01,0.375,0.351,0.399,5231
admin1,Hawaii,2013-12-01,0.406,0.382,0.43,5231
admin1,Hawaii,2014-01-01,0.412,0.387,0.437,5443
admin1,Hawaii,2014-02-01,0.432,0.407,0.457,5443
admin1,Hawaii,2014-03-01,0.445,0.418,0.472,5443
admin1,Hawaii,2014-04-01,0.458,0.431,0.485,5443
admin1,Hawaii,2014-05-01,0.461,0.434,0.488,5443
admin1,Hawaii,2014-07-01,0.007,0.003,0.011,5443
admin1,Hawaii,2014-08-01,0.027,0.019,0.035,5443
admin1,Hawaii,2014-09-01,0.113,0.099,0.127,5443
admin1,Hawaii,2014-10-01,0.271,0.249,0.293,5443
admin1,Hawaii,2014-11-01,0.339,0.315,0.363,5443
admin1,Hawaii,2014-12-01,0.384,0.359,0.409,5443
admin1,Hawaii,2015-01-01,0.386,0.361,0.411,5478
admin1,Hawaii,2015-02-01,0.398,0.373,0.423,5478
admin1,Hawaii,2015-03-01,0.405,0.38,0.43,5478
admin1,Hawaii,2015-04-01,0.436,0.389,0.483,5478
admin1,Hawaii,2015-05-01,0.445,0.398,0.492,5478
admin1,Hawaii,2015-08-01,0.03,0.02,0.04,5478
admin1,Hawaii,2015-09-01,0.113,0.099,0.127,5478
admin1,Hawaii,2015-10-01,0.233,0.213,0.253,5478
admin1,Hawaii,2015-11-01,0.311,0.289,0.333,5478
admin1,Hawaii,2015-12-01,0.347,0.322,0.372,5478
admin1,Hawaii,2016-01-01,0.388,0.368,0.408,6072
admin1,Hawaii,2016-02-01,0.418,0.398,0.438,6072
admin1,Hawaii,2016-03-01,0.432,0.412,0.452,6072
admin1,Hawaii,2016-04-01,0.446,0.424,0.468,6072
admin1,Hawaii,2016-05-01,0.462,0.437,0.487,6072
admin1,Hawaii,2016-07-01,0.008,0.006,0.01,6072
admin1,Hawaii,2016-08-01,0.033,0.027,0.039,6072
admin1,Hawaii,2016-09-01,0.118,0.106,0.13,6072
admin1,Hawaii,2016-10-01,0.235,0.219,0.251,6072
admin1,Hawaii,2016-11-01,0.311,0.293,0.329,6072
admin1,Hawaii,2016-12-01,0.352,0.334,0.37,6072
admin1,Hawaii,2017-01-01,0.324,0.306,0.342,5486
admin1,Hawaii,2017-02-01,0.351,0.333,0.369,5486
admin1,Hawaii,2017-03-01,0.363,0.343,0.383,5486
admin1,Hawaii,2017-04-01,0.374,0.354,0.394,5486
admin1,Hawaii,2017-05-01,0.385,0.363,0.407,5486
admin1,Hawaii,2017-07-01,0.009,0.005,0.013,5486
admin1,Hawaii,2017-08-01,0.029,0.023,0.035,5486
admin1,Hawaii,2017-09-01,0.091,0.081,0.101,5486
admin1,Hawaii,2017-10-01,0.195,0.181,0.209,5486
admin1,Hawaii,2017-11-01,0.264,0.248,0.28,5486
admin1,Hawaii,2017-12-01,0.289,0.273,0.305,5486
admin1,Hawaii,2018-01-01,0.386,0.368,0.404,6120
admin1,Hawaii,2018-02-01,0.417,0.397,0.437,6120
admin1,Hawaii,2018-03-01,0.438,0.418,0.458,6120
admin1,Hawaii,2018-04-01,0.46,0.438,0.482,6120
admin1,Hawaii,2018-05-01,0.472,0.447,0.497,6120
admin1,Hawaii,2018-07-01,0.005,0.003,0.007,6120
admin1,Hawaii,2018-08-01,0.023,0.019,0.027,6120
admin1,Hawaii,2018-09-01,0.107,0.097,0.117,6120
admin1,Hawaii,2018-10-01,0.222,0.208,0.236,6120
admin1,Hawaii,2018-11-01,0.301,0.285,0.317,6120
